ibge_id;ano;dependencia_id;localizacao_id;serie_id;matriculas;aprovados;reprovados;abandonos;TIPO
3515103;2012;4;2;1;24;100;0;0;AI
3515103;2012;3;2;1;29;100;0;0;AI
3515103;2012;0;0;4;1178;99,6;0,4;0;AI
3515103;2012;5;0;4;1003;100;0;0;AI
3515103;2012;4;0;4;175;97,1;2,9;0;AI
3515103;2012;3;0;4;427;100;0;0;AI
3515103;2012;2;0;4;576;100;0;0;AI
3515103;2012;0;1;4;1066;99,9;0,1;0;AI
3515103;2012;5;1;4;987;100;0;0;AI
3515103;2012;4;1;4;79;98,7;1,3;0;AI
3515103;2012;3;1;4;411;100;0;0;AI
3515103;2012;2;1;4;576;100;0;0;AI
3515103;2012;0;2;4;112;96,5;3,5;0;AI
3515103;2012;5;2;4;16;100;0;0;AI
3515103;2012;4;2;4;96;95,8;4,2;0;AI
3515103;2012;3;2;4;16;100;0;0;AI
3515103;2012;0;2;3;120;85,7;13,4;0,9;AI
3515103;2012;5;2;3;26;82,6;13;4,4;AI
3515103;2012;4;2;3;94;86,5;13,5;0;AI
3515103;2012;3;2;3;26;82,6;13;4,4;AI
3515103;2012;0;0;3;1148;95,8;3,9;0,3;AI
3515103;2012;5;0;3;976;96,8;2,9;0,3;AI
3515103;2012;4;0;3;172;90,2;9,8;0;AI
3515103;2012;3;0;3;403;92,6;6,7;0,7;AI
3515103;2012;2;0;3;573;99,8;0,2;0;AI
3515103;2012;0;1;3;1028;97;2,8;0,2;AI
3515103;2012;5;1;3;950;97,2;2,6;0,2;AI
3515103;2012;4;1;3;78;94,9;5,1;0;AI
3515103;2012;3;1;3;377;93,2;6,3;0,5;AI
3515103;2012;2;1;3;573;99,8;0,2;0;AI
3515103;2012;0;0;5;1266;96,4;3,5;0,1;AI
3515103;2012;5;0;5;1119;96,7;3,3;0;AI
3515103;2012;4;0;5;147;94,5;5,5;0;AI
3515103;2012;3;0;5;436;94,7;5,1;0,2;AI
3515103;2012;2;0;5;683;97,9;2,1;0;AI
3515103;2012;0;1;5;1151;96,7;3,2;0,1;AI
3515103;2012;5;1;5;1095;96,9;3;0,1;AI
3515103;2012;4;1;5;56;94,5;5,5;0;AI
3515103;2012;3;1;5;412;95,1;4,6;0,3;AI
3515103;2012;2;1;5;683;97,9;2,1;0;AI
3515103;2012;0;2;5;115;93;7;0;AI
3515103;2012;5;2;5;24;87,5;12,5;0;AI
3515103;2012;4;2;5;91;94,4;5,6;0;AI
3515103;2012;3;2;5;24;87,5;12,5;0;AI
3515103;2012;0;0;12;1069;90,2;8,3;1,5;EM
3515103;2012;5;0;12;984;89,5;8,8;1,7;EM
3515103;2012;4;0;12;85;97,6;2,4;0;EM
3515103;2012;3;0;12;0;0;0;0;EM
3515103;2012;2;0;12;984;89,5;8,8;1,7;EM
3515103;2012;0;1;12;1069;90,2;8,3;1,5;EM
3515103;2012;5;1;12;984;89,5;8,8;1,7;EM
3515103;2012;4;1;12;85;97,6;2,4;0;EM
3515103;2012;3;1;12;0;0;0;0;EM
3515103;2012;2;1;12;984;89,5;8,8;1,7;EM
3515103;2012;0;2;12;0;0;0;0;EM
3515103;2012;5;2;12;0;0;0;0;EM
3515103;2012;4;2;12;0;0;0;0;EM
3515103;2012;3;2;12;0;0;0;0;EM
3515103;2012;0;0;10;1486;81,8;14,9;3,3;EM
3515103;2012;5;0;10;1376;81,3;15,2;3,5;EM
3515103;2012;4;0;10;110;88,9;11,1;0;EM
3515103;2012;3;0;10;0;0;0;0;EM
3515103;2012;2;0;10;1376;81,3;15,2;3,5;EM
3515103;2012;0;0;11;1266;84,3;12;3,7;EM
3515103;2012;5;0;11;1157;83,3;12,7;4;EM
3515103;2012;4;0;11;109;95,2;4,8;0;EM
3515103;2012;3;0;11;0;0;0;0;EM
3515103;2012;2;0;11;1157;83,3;12,7;4;EM
3515103;2012;0;1;11;1266;84,3;12;3,7;EM
3515103;2012;5;1;11;1157;83,3;12,7;4;EM
3515103;2012;4;1;11;109;95,2;4,8;0;EM
3515103;2012;3;1;11;0;0;0;0;EM
3515103;2012;2;1;11;1157;83,3;12,7;4;EM
3515103;2012;0;2;11;0;0;0;0;EM
3515103;2012;5;2;11;0;0;0;0;EM
3515103;2012;4;2;11;0;0;0;0;EM
3515103;2012;3;2;11;0;0;0;0;EM
3515103;2012;0;1;10;1486;81,8;14,9;3,3;EM
3515103;2012;5;1;10;1376;81,3;15,2;3,5;EM
