inep_id;ano;dependencia_id;localizacao_id;serie_id;matriculas;aprovados;reprovados;abandonos;TIPO
35904193;2010;2;1;7;56;100;0;0;AF
35904193;2010;2;1;8;55;100;0;0;AF
35904193;2010;2;1;9;48;100;0;0;AF
35904193;2010;2;1;10;0;0;0;0;AF
35904193;2010;2;1;11;0;0;0;0;AF
35904193;2010;2;1;12;0;0;0;0;AF
35912402;2010;2;1;1;25;100;0;0;AF
35912402;2010;2;1;2;34;96.4;3.6;0;AF
35912402;2010;2;1;3;50;100;0;0;AF
35912402;2010;2;1;4;44;100;0;0;AF
35912402;2010;2;1;5;49;95.7;4.3;0;AF
35912402;2010;2;1;6;0;0;0;0;AF
35912402;2010;2;1;7;0;0;0;0;AF
35912402;2010;2;1;8;0;0;0;0;AF
35912402;2010;2;1;9;0;0;0;0;AF
35912402;2010;2;1;10;0;0;0;0;AF
35912402;2010;2;1;11;0;0;0;0;AF
35912402;2010;2;1;12;0;0;0;0;AF
35914782;2010;2;1;1;0;0;0;0;AF
35914782;2010;2;1;2;0;0;0;0;AF
35914782;2010;2;1;3;0;0;0;0;AF
35914782;2010;2;1;4;0;0;0;0;AF
35914782;2010;2;1;5;0;0;0;0;AF
35914782;2010;2;1;6;186;98.9;1.1;0;AF
35914782;2010;2;1;7;169;96.3;3.7;0;AF
35914782;2010;2;1;8;205;93.9;6.1;0;AF
35914782;2010;2;1;9;289;86.2;8.5;5.3;AF
35914782;2010;2;1;10;254;87;8.5;4.5;AF
35914782;2010;2;1;11;184;81.2;15.5;3.3;AF
35914782;2010;2;1;12;109;94.4;1.9;3.7;AF
35914848;2010;2;1;1;39;100;0;0;AF
35914848;2010;2;1;2;45;97.7;2.3;0;AF
35914848;2010;2;1;3;39;100;0;0;AF
35914848;2010;2;1;4;41;100;0;0;AF
35914848;2010;2;1;5;58;92.6;7.4;0;AF
35914848;2010;2;1;6;57;98;2;0;AF
35914848;2010;2;1;7;61;98.2;1.8;0;AF
35914848;2010;2;1;8;69;92.2;7.8;0;AF
35914848;2010;2;1;9;62;93.2;6.8;0;AF
35914848;2010;2;1;10;50;89.6;10.4;0;AF
35914848;2010;2;1;11;46;80.9;19.1;0;AF
35914848;2010;2;1;12;36;85.7;14.3;0;AF
35917084;2010;2;1;1;0;0;0;0;AF
